,criterion,max_depth,max_features,n_estimators,Validation,Training,Percent Difference
0,gini,5,1,10,0.7915970550516799,0.7955679375074931,0.004991255012430449
1,gini,5,1,50,0.8006638335393044,0.8026743574538026,0.0025047815416401917
2,gini,5,1,100,0.80144345765383,0.804456550800924,0.003745501412219491
3,gini,5,1,250,0.8023345867448242,0.8057597614890092,0.004250863480518619
4,gini,5,3,10,0.8338122227311284,0.837382209460818,0.004263270331463376
5,gini,5,3,50,0.835772657100757,0.8393091773213076,0.0042136084247733135
6,gini,5,3,100,0.8349928940206667,0.8385406248544743,0.004230839542715485
7,gini,5,3,250,0.8353716248149121,0.8391922292680218,0.0045527166718907905
8,gini,5,5,10,0.8277083613073911,0.8322361936357862,0.005440561661484974
9,gini,5,5,50,0.8263939852924306,0.8323085898872573,0.007106264030782036
10,gini,5,5,100,0.8277083935672543,0.8328933572931307,0.006225243220485418
11,gini,5,5,250,0.8267949654661887,0.8324589591583246,0.006803931448899996
12,gini,8,1,10,0.8347255416449647,0.8466161087558863,0.014044815575733576
13,gini,8,1,50,0.8388914587867964,0.8511105164453898,0.014356605191092657
14,gini,8,1,100,0.8409855110283692,0.852853697228847,0.013915852436403524
15,gini,8,1,250,0.8398271040075113,0.852090701679573,0.014392361808301314
16,gini,8,3,10,0.8611463770697091,0.8761667693799003,0.01714330289063783
17,gini,8,3,50,0.8631735769485708,0.8787564891419674,0.01773291279887105
18,gini,8,3,100,0.8637305112272637,0.8799260376009777,0.018405554196201813
19,gini,8,3,250,0.8637527854220558,0.879948314742545,0.018405091582256918
20,gini,8,5,10,0.8574483594656008,0.8760442330823823,0.02122709438009937
21,gini,8,5,50,0.8593419191387669,0.8780046353426693,0.021255828787986573
22,gini,8,5,100,0.8592305332756395,0.8782830911602648,0.0216929576310706
23,gini,8,5,250,0.8599656288528047,0.8784891598762588,0.021085668292211163
24,gini,10,1,10,0.8470449258051683,0.8711488556096508,0.02766912870202188
25,gini,10,1,50,0.8538839522888534,0.8784947200505513,0.02801470196688459
26,gini,10,1,100,0.854195823275804,0.8796141565334545,0.028897139807098803
27,gini,10,1,250,0.8549309610389443,0.8797868102349687,0.028252127568707347
28,gini,10,3,10,0.866426016358778,0.8991400972487866,0.03638374152160274
29,gini,10,3,50,0.8685423874626459,0.902392562088799,0.037511584257519784
30,gini,10,3,100,0.8680745325924251,0.9031277187713872,0.03881309968721634
31,gini,10,3,250,0.8683418874496551,0.9031499957578722,0.03854078333799706
32,gini,10,5,10,0.8635077419825368,0.9030274624069223,0.043763586457326566
33,gini,10,5,50,0.8656018041502215,0.9058176793896651,0.04439731764403276
34,gini,10,5,100,0.8668715995157348,0.9063746085491828,0.0435835345130418
35,gini,10,5,250,0.8669607062210144,0.9064637164951229,0.04357925149706867
36,gini,20,1,10,0.8569136472696133,0.9754951000772131,0.12156027518560959
37,gini,20,1,50,0.8679186454887449,0.9834870444263526,0.11750881680908808
38,gini,20,1,100,0.8681191033157605,0.9848236743161459,0.11850301129430527
39,gini,20,1,250,0.8696785103626,0.9853026383652776,0.11734884643616748
40,gini,20,3,10,0.862950802740788,0.9822283850748341,0.12143569066674717
41,gini,20,3,50,0.8694557411178732,0.9899362897044567,0.12170535603109643
42,gini,20,3,100,0.8699680823394793,0.9908496526638071,0.12199789342343606
43,gini,20,3,250,0.8703244793822623,0.9910724256303076,0.12183564301191345
44,gini,20,5,10,0.8599210506848856,0.9822061107247523,0.12450040648763096
45,gini,20,5,50,0.8668938910812223,0.9898861639260035,0.12424890591154397
46,gini,20,5,100,0.8673616367642136,0.990454228942361,0.12427893039498618
47,gini,20,5,250,0.8681190933896488,0.9907104209554871,0.12374082776640785
48,gini,100,1,10,0.8544632228005368,0.9898805967729967,0.1368017257979594
49,gini,100,1,50,0.8672279990400458,0.9996491350590823,0.13246761426068757
50,gini,100,1,100,0.8680522757683289,0.9999777228584324,0.13192838607743698
51,gini,100,1,250,0.868475527655351,1.0,0.13152447234464903
52,gini,100,3,10,0.8620596240192352,0.9891064597839122,0.12844606817392806
53,gini,100,3,50,0.8693888738659943,0.9995823028589671,0.13024783314050134
54,gini,100,3,100,0.869878970671144,0.999966584055025,0.13009196052967584
55,gini,100,3,250,0.8707255166311629,1.0,0.12927448336883707
56,gini,100,5,10,0.8589854402055618,0.9887277530297405,0.1312214736833387
57,gini,100,5,50,0.8663146304956507,0.9993762398810271,0.13314465971416029
58,gini,100,5,100,0.8681413477322172,0.9999888616618401,0.13184898250817612
59,gini,100,5,250,0.8675176231290116,1.0,0.1324823768709884
60,entropy,5,1,10,0.7916857845647127,0.7948161634206206,0.003938494207812457
61,entropy,5,1,50,0.7981466063380754,0.8015270679917025,0.00421752650487162
62,entropy,5,1,100,0.8006415121954815,0.8039720188233728,0.004142565350427873
63,entropy,5,1,250,0.8020003745618272,0.8052529587282746,0.004039207967126545
64,entropy,5,3,10,0.8314731866067074,0.834881581050859,0.0040824884888003045
65,entropy,5,3,50,0.8355944139118625,0.8392033722586578,0.004300457393399229
66,entropy,5,3,100,0.8344582885303803,0.8376885134500511,0.003856117002687601
67,entropy,5,3,250,0.8349929188359461,0.8380505232425955,0.003648472641982207
68,entropy,5,5,10,0.8278643600798288,0.8331272633249849,0.00631704599865334
69,entropy,5,5,50,0.8271958711941085,0.8336062538932308,0.0076899407474255305
70,entropy,5,5,100,0.8283320065017025,0.8336842248967538,0.006419958822795437
71,entropy,5,5,250,0.8271735721840372,0.8333445018608943,0.007405016368473194
72,entropy,8,1,10,0.8366415020708475,0.8494062813850227,0.015027884292733542
73,entropy,8,1,50,0.8379111981752432,0.8496179510620173,0.013778843622760996
74,entropy,8,1,100,0.8396043297997287,0.8503920576549241,0.012685593377887511
75,entropy,8,1,250,0.8388914662313802,0.85064825819759,0.013820979297742751
76,entropy,8,3,10,0.861836983813961,0.8758771561489926,0.016029841897878316
77,entropy,8,3,50,0.8637973412562234,0.8790182407090562,0.01731579476730188
78,entropy,8,3,100,0.86388648766595,0.8791129187545714,0.017320222196475655
79,entropy,8,3,250,0.8641315062901894,0.8793245521422517,0.017278086703081653
80,entropy,8,5,10,0.858985479910009,0.8756822358515238,0.019067140177028655
81,entropy,8,5,50,0.8598320159439161,0.8778542583174751,0.02052987976398385
82,entropy,8,5,100,0.8588741014914654,0.8774811184061455,0.021205033959565852
83,entropy,8,5,250,0.8596538124594689,0.8775256666410615,0.020366189686509478
84,entropy,10,1,10,0.848314624391092,0.8720677733154052,0.027237732721172712
85,entropy,10,1,50,0.8545300354588008,0.8785671285535435,0.02735942685941015
86,entropy,10,1,100,0.8547082364617203,0.8797700889253827,0.02848682033993081
87,entropy,10,1,250,0.8547973307593602,0.879413657606871,0.027991749541960348
88,entropy,10,3,10,0.8651785423370877,0.899023147489593,0.037645977466778294
89,entropy,10,3,50,0.8702576692055262,0.9023090288949106,0.03552148838479302
90,entropy,10,3,100,0.8692997621976589,0.9031834082910315,0.03751579776856828
91,entropy,10,3,250,0.8692106927152985,0.9035509863221604,0.038005927863176345
92,entropy,10,5,10,0.8647106949114507,0.9035676911929972,0.043003968225383174
93,entropy,10,5,50,0.8667379692361508,0.9073158224716572,0.04472296440832103
94,entropy,10,5,100,0.8679631864337448,0.9070707683314432,0.04311414639635755
95,entropy,10,5,250,0.8675844978254743,0.9072434181558938,0.04371364899073296
96,entropy,20,1,10,0.857693437646511,0.9804127947028073,0.12517110927086206
97,entropy,20,1,50,0.8668047545976074,0.99150125862818,0.1257653512241628
98,entropy,20,1,100,0.8686537882149409,0.9925928427522166,0.12486394138569759
99,entropy,20,1,250,0.8701908912886532,0.9942246432557249,0.1247542522793502
100,entropy,20,3,10,0.8621265334570888,0.9867562166185222,0.12630240485185104
101,entropy,20,3,50,0.8701017225451751,0.9973712937281352,0.1276050072658812
102,entropy,20,3,100,0.8701686170938613,0.9983960434809009,0.1284334280211845
103,entropy,20,3,250,0.8706363627768526,0.998797033424859,0.12831502933938993
104,entropy,20,5,10,0.8593418446929286,0.9870124176264359,0.129350523512692
105,entropy,20,5,50,0.866069584574604,0.9979894856085233,0.13218566221013964
106,entropy,20,5,100,0.8676067075005399,0.9990142366019494,0.13153719365239433
107,entropy,20,5,250,0.8676289668061641,0.9992871314698396,0.13175208657998136
108,entropy,100,1,10,0.8567577775366285,0.9898638836827851,0.13446910059081638
109,entropy,100,1,50,0.8653567408584791,0.9996212879730221,0.13431541397722463
110,entropy,100,1,100,0.8680745698153443,0.9999777228584324,0.13190609153376293
111,entropy,100,1,250,0.8697898987072555,1.0,0.13021010129274446
112,entropy,100,3,10,0.8614582009076287,0.9886386457041307,0.12864199204545687
113,entropy,100,3,50,0.8691438378710595,0.9995823033242146,0.13049297193374515
114,entropy,100,3,100,0.8694779979419696,0.9999554455617824,0.13048326122821366
115,entropy,100,3,250,0.8707700352424117,1.0,0.1292299647575883
116,entropy,100,5,10,0.8607453795252553,0.988215371639891,0.12899009241589313
117,entropy,100,5,50,0.8673616814317165,0.9994486401646446,0.13215982635302667
118,entropy,100,5,100,0.8673393749770615,0.9999554458719476,0.13262197975155454
119,entropy,100,5,250,0.8673839084774777,1.0,0.1326160915225223
